
 wsid         | year | month | day | system.max(temperature) | system.min(temperature) | system.avg(temperature) | system.avg(dewpoint) | system.avg(dewpoint)
 725030:14732 | 2014 |     3 |  26 |                     1.7 |                       0 |                0.779167 |                 30.8 |                 30.8
 725030:14732 | 2014 |     3 |  25 |                     2.8 |                    -3.3 |               -0.116667 |              27.7875 |              27.7875
 725030:14732 | 2014 |     3 |  24 |                     1.7 |                    -5.6 |                -2.05833 |              26.8625 |              26.8625
 725030:14732 | 2014 |     3 |  23 |                    12.8 |                       0 |                   5.025 |             34.71667 |             34.71667
 725030:14732 | 2014 |     3 |  22 |                    17.2 |                       0 |                  8.9125 |             38.09583 |             38.09583
 725030:14732 | 2014 |     3 |  21 |                      10 |                       0 |                 6.29167 |             34.34583 |             34.34583
 725030:14732 | 2014 |     3 |  20 |                    11.7 |                       0 |                 7.17917 |             42.07083 |             42.07083
 725030:14732 | 2014 |     3 |  19 |                     6.1 |                    -0.6 |                 2.08333 |             38.50417 |             38.50417
 725030:14732 | 2014 |     3 |  18 |                     3.9 |                    -2.8 |                0.083333 |               29.675 |               29.675
 725030:14732 | 2014 |     3 |  17 |                     0.6 |                    -4.4 |                -1.95833 |             26.33333 |             26.33333
 725030:14732 | 2014 |     3 |  16 |                    11.7 |                    -0.6 |                 2.92083 |                30.95 |                30.95
 725030:14732 | 2014 |     3 |  15 |                    14.4 |                       0 |                 8.60833 |               37.775 |               37.775
 725030:14732 | 2014 |     3 |  14 |                     6.1 |                    -5.6 |                -1.06667 |              27.2375 |              27.2375
 725030:14732 | 2014 |     3 |  13 |                     9.4 |                    -7.2 |                -1.90833 |             31.75417 |             31.75417
 725030:14732 | 2014 |     3 |  12 |                    14.4 |                       0 |                 8.49167 |             43.53333 |             43.53333
 725030:14732 | 2014 |     3 |  11 |                    18.3 |                       0 |                   10.95 |             40.39167 |             40.39167
 725030:14732 | 2014 |     3 |  10 |                      10 |                       0 |                 5.34583 |             34.07083 |             34.07083
 725030:14732 | 2014 |     3 |   9 |                     9.4 |                       0 |                    4.95 |             34.94167 |             34.94167
 725030:14732 | 2014 |     3 |   8 |                    12.8 |                       0 |                  5.2625 |             38.91667 |             38.91667
 725030:14732 | 2014 |     3 |   7 |                     1.1 |                    -3.3 |                -1.45833 |             33.49167 |             33.49167
 725030:14732 | 2014 |     3 |   6 |                       0 |                    -8.9 |                -4.18333 |             26.17917 |             26.17917
 725030:14732 | 2014 |     3 |   5 |                     2.2 |                    -2.8 |               -0.704167 |              28.1625 |              28.1625

 wsid         | year | month | day | system.max(temperature) | system.min(temperature) | system.avg(temperature) | system.avg(dewpoint) | system.avg(dewpoint)
--------------+------+-------+-----+-------------------------+-------------------------+-------------------------+----------------------+----------------------
 725030:14732 | 2014 |     3 |   4 |                       0 |                   -10.6 |                 -6.2125 |             24.50833 |             24.50833
 725030:14732 | 2014 |     3 |   3 |                     2.8 |                    -6.7 |                -3.42083 |             28.95833 |             28.95833
 725030:14732 | 2014 |     3 |   2 |                     3.9 |                       0 |                 2.42083 |             34.58333 |             34.58333
 725030:14732 | 2014 |     3 |   1 |                     2.8 |                    -6.1 |                -2.74167 |              26.9125 |              26.9125
 725030:14732 | 2014 |     2 |  28 |                       0 |                   -12.2 |                  -7.775 |             21.47917 |             21.47917
 725030:14732 | 2014 |     2 |  27 |                       0 |                    -7.2 |                 -3.7875 |             24.86667 |             24.86667
 725030:14732 | 2014 |     2 |  26 |                       0 |                    -3.3 |                 -2.1125 |              29.8125 |              29.8125
 725030:14732 | 2014 |     2 |  25 |                     0.6 |                    -3.9 |                 -1.7375 |                29.45 |                29.45
 725030:14732 | 2014 |     2 |  24 |                    10.6 |                       0 |                 4.19167 |             33.65417 |             33.65417
 725030:14732 | 2014 |     2 |  23 |                    11.7 |                       0 |                 8.49583 |             38.12083 |             38.12083
 725030:14732 | 2014 |     2 |  22 |                    12.2 |                       0 |                 7.15417 |               38.375 |               38.375
 725030:14732 | 2014 |     2 |  21 |                     7.8 |                       0 |                 2.70833 |             42.55417 |             42.55417
 725030:14732 | 2014 |     2 |  20 |                     9.4 |                       0 |                 5.55417 |              38.8875 |              38.8875
